Name,Age,Date_of_Birth,Gender,Marital_Status,BMI,Practicing_Hours_2024_Jan_to_Aug,Dietary_Preference
Randall Duncan,116,1907-11-01,Female,Married,17.53,305,veg
Joshua Yang,98,1925-02-04,m,married,13.94,3,non-veg
Mr. Colton Doyle II,0,1947-12-11,male,Married,17.55,57,Non Vegetarian
Justin Cruz,-38,1928-09-27,m,married,18.71,366,non-veg
Brandi Arnold,8,2015-11-07,Female,M,20.0,454,Non-Vegetarian
Roger Gallagher,-23,1909-03-25,male,Single,49.9,292,Non-Vegetarian
Teresa Lopez,99,1924-05-01,F,single,15.33,166,veg
Adam Davis,81,1919-03-09,F,Married,34.66,317,Non Vegetarian
Tammy Johnson,67,1956-11-26,m,Married,42.47,322,non-veg
Terri Williams,56,1967-05-10,female,married,16.25,200,veg
Brandon Sawyer,20,2003-12-14,Male,married,35.83,294,Non-Vegetarian
Mark Garcia,13,2010-08-02,female,Single,28.28,136,Non-Vegetarian
Alison Gordon,71,1952-06-30,male,single,38.73,118,v
Gregory Sandoval,60,1963-01-20,male,married,25.51,61,Non-Vegetarian
Peggy Bishop,-53,1963-09-28,F,married,10.84,140,non-veg
Amber Carey,9,2014-12-02,m,married,13.7,439,veg
Steven Richards,2,2021-09-08,F,single,46.2,144,Vegetarian
Kimberly Bradley,79,1955-05-29,Female,s,13.89,487,veg
Lauren Miller,34,1970-10-05,male,Single,36.39,323,Vegetarian
Nicholas French PhD,62,1961-12-20,Female,Married,36.61,474,non-veg
Jasmine Hopkins,110,1913-02-02,female,Married,43.78,358,Non-Vegetarian
David Williams,21,2002-03-07,F,Married,11.68,375,Vegetarian
Amy Costa,53,1921-06-20,male,married,11.61,264,non-veg
Mark Guzman,15,2008-07-01,male,s,38.17,346,Non-Vegetarian
Cynthia Garcia,81,1989-07-19,male,s,48.19,138,nv
Amanda Jordan,47,1925-10-27,m,single,24.78,372,non-veg
Troy Lowe,-10,1978-04-23,female,Married,22.03,330,Vegetarian
James Rowe,55,1968-05-05,male,s,16.38,20,non-veg
Christy Williams,51,1972-02-02,m,single,35.52,277,v
Mark Miller,109,1914-03-29,F,Married,15.13,371,non-veg
Taylor Johnson,96,1963-09-10,F,single,46.75,135,nonveg
Dr. Tracy Acosta,63,2011-06-26,m,s,36.12,291,nonveg
Kyle Elliott,72,1951-01-08,male,married,29.02,328,Non Vegetarian
Eric Gomez,52,1971-10-03,female,Single,36.35,53,v
Julian Anderson,53,1970-02-16,female,s,34.91,288,Non-Vegetarian
Jordan Fuller,85,1910-06-08,female,married,24.35,246,Non-Vegetarian
Sarah Taylor,32,1996-02-21,Male,single,13.38,484,non-veg
Sandra Ray,41,1982-05-10,Male,Married,38.59,67,veg
Michelle Boyd,95,1928-12-28,Female,Married,21.44,0,Vegetarian
Kimberly Huffman,79,1944-06-09,Male,Married,39.04,292,nv
Jessica Garcia,54,1969-11-02,female,s,11.11,191,veg
Joseph Hansen,8,2015-11-17,Male,Single,45.44,151,nonveg
Mrs. Lisa Navarro DDS,-96,1939-11-22,Male,Married,25.26,272,non-veg
Jennifer Torres,92,1931-03-17,Female,married,18.11,495,non-veg
Jenny Villarreal,40,1983-06-23,F,married,13.66,266,veg
Christopher Burnett,3,2020-05-08,Female,s,28.12,106,Vegetarian
Joanna Phillips,17,1921-08-12,m,Married,45.06,130,Non Vegetarian
Darryl Erickson,106,1917-01-26,Male,Single,15.4,371,veg
Andrea Torres,114,1909-03-30,F,s,31.26,251,v
Jonathan Patterson,110,1913-01-16,Female,Married,28.57,365,non-veg
Craig Chavez,93,1930-08-30,female,Married,40.83,210,nv
Sandra Sparks,6,2017-03-04,Female,Married,43.73,241,veg
Kevin Garza,55,1968-02-16,female,s,44.78,61,Non Vegetarian
Russell Jackson,101,1922-08-27,female,M,10.84,248,Vegetarian
Dr. Patricia Johnson,96,1927-12-12,Male,Married,10.91,310,nonveg
Robert Hill,65,1958-01-03,female,Single,26.42,121,Non-Vegetarian
Janet Moore,112,1911-09-12,F,M,33.69,375,v
Lindsay Matthews,4,1923-08-06,female,single,19.69,121,Non-Vegetarian
Mark Lowery,34,1989-12-18,Male,Single,29.41,493,non-veg
Sandra Campos,90,1933-03-08,m,married,41.06,457,non-veg
Peter Peck,85,1938-06-27,Female,Married,43.66,125,Non Vegetarian
Richard Taylor,69,1954-06-04,m,Married,16.42,319,Non Vegetarian
Kelly Nelson,20,2014-03-19,Male,Married,15.47,215,Non-Vegetarian
Mark Wright,85,1938-10-25,Female,married,35.65,297,nonveg
Benjamin Petty,64,1959-03-13,F,s,29.4,381,nonveg
Rita Buck,104,1919-05-02,F,M,27.39,304,non-veg
Robert Shepard,50,1973-10-20,male,single,19.62,324,Vegetarian
Lisa Perez,45,1978-02-01,female,single,47.26,488,Vegetarian
Gary Gardner,51,1948-03-16,F,single,22.9,232,non-veg
Cynthia Thompson,8,2015-03-23,Female,Married,37.45,334,nv
Brandon Richards,114,1909-05-16,F,s,22.43,373,nonveg
Victoria Wilson,29,1994-06-20,female,Married,27.54,92,non-veg
Caleb Mcfarland,29,1994-05-06,m,single,14.78,143,non-veg
Luis Cox,87,1936-08-14,F,s,23.5,311,non-veg
Kimberly Taylor,15,2008-07-26,male,s,43.52,56,Non-Vegetarian
Theresa Whitaker,23,2000-04-08,male,Married,22.13,215,Vegetarian
Christopher James,36,1980-01-10,Male,s,26.76,214,non-veg
Michael Hall,56,1967-03-09,m,M,42.61,72,nonveg
Kevin Smith,27,1996-06-06,Female,Married,47.93,290,v
Charles Thomas,85,1938-09-24,m,Single,11.25,208,nv
Jessica Walters,0,2023-05-05,m,M,33.41,478,Non-Vegetarian
Tommy Potts,108,1915-07-16,m,married,41.38,243,Non-Vegetarian
Justin Atkins,27,1996-08-13,female,s,38.36,180,Non Vegetarian
Allison Marquez,80,1943-08-16,m,M,18.92,385,v
Thomas Oconnor,96,1927-07-16,Female,married,20.96,476,Vegetarian
John Anderson,96,1927-07-03,Male,Married,12.02,412,Vegetarian
Richard Petty,37,1986-12-19,Male,single,12.9,215,Non-Vegetarian
Stephanie Anderson,6,2017-03-13,Female,s,43.6,166,veg
Laurie Miller,96,1927-04-11,m,M,43.28,295,nv
Alan Chang,99,1924-03-01,m,M,26.69,242,nonveg
Patricia Baxter,104,1919-09-02,female,Single,34.3,433,veg
Vincent Mills,99,1924-06-27,m,Single,36.95,186,v
Carlos Camacho,10,2013-12-09,female,married,11.75,262,veg
Mary Pierce,16,2007-06-12,m,Single,16.12,444,veg
Caleb Grant,75,1948-08-26,m,s,10.27,412,veg
Richard King,40,1983-01-02,Female,Married,25.99,313,Non-Vegetarian
Patricia Oconnor,98,1925-12-29,male,s,41.7,443,veg
Sara Dunn,-92,1969-10-27,female,s,26.33,208,non-veg
John Garcia,-70,1981-01-17,F,married,41.2,17,Non-Vegetarian
Carolyn Wolfe,114,1909-04-29,F,M,40.14,15,nonveg
Gavin Rojas,29,1994-12-19,Male,Single,35.17,494,veg
Andrew Cruz,-41,1995-02-24,female,M,25.02,97,non-veg
Brittany Jones,5,2018-12-14,F,married,12.89,249,v
Robert Williams,92,1931-07-29,male,Married,20.97,135,Vegetarian
Stephen Larson,34,1989-04-07,m,Single,14.89,343,nv
Erica Robinson,8,2015-01-29,male,Single,11.3,110,non-veg
Daniel Morrison,-3,1982-07-10,Female,s,23.43,362,Non Vegetarian
Patricia Phillips,26,1997-06-05,m,single,17.62,199,nonveg
Sheila Taylor,20,2003-01-06,m,Single,44.46,446,nv
Sarah Williams,9,2014-10-04,male,M,20.83,250,Non-Vegetarian
Alejandro Mcmillan,56,1967-03-11,Male,Single,30.2,254,Vegetarian
Kurt Nelson,16,1910-02-28,Male,s,34.8,162,non-veg
Ryan Beard,82,1941-07-05,female,Married,25.36,383,nonveg
Michelle Myers,107,1916-08-18,F,Married,26.13,196,Non-Vegetarian
Lisa Young,69,1954-07-24,Female,single,36.51,82,nv
Andrew Simmons,87,1936-12-23,male,s,29.99,102,Non-Vegetarian
Mr. Richard Morris,54,1969-07-21,F,Married,33.93,244,Vegetarian
Michael Austin,33,1990-10-15,female,single,49.82,232,non-veg
Michael Zavala,-8,1998-05-29,Male,M,23.77,168,non-veg
Elizabeth Smith,78,1945-11-01,m,M,41.11,73,Non-Vegetarian
Kevin Page,7,2016-12-08,Male,single,38.76,52,Non-Vegetarian
Rebecca Hudson,95,1928-07-08,F,M,10.29,441,non-veg
Jenna Smith,80,1943-08-06,m,single,31.03,22,non-veg
Vincent Huff,74,1949-12-05,m,married,18.32,106,Non Vegetarian
James Smith,18,2005-04-21,Male,Single,33.3,377,veg
Angela Conley,95,1928-07-04,female,Married,21.76,423,nonveg
Jenna Faulkner PhD,18,2005-04-26,male,Married,23.28,221,Non Vegetarian
Theresa Brown,-42,2012-03-27,F,s,18.01,349,Non Vegetarian
Jack Chavez,52,1971-05-03,male,Single,14.89,211,Non-Vegetarian
Linda Scott,72,1951-12-03,m,single,15.06,428,veg
Samantha Turner,52,1971-09-22,Female,Married,10.96,416,veg
Tina Smith,13,2010-03-24,Male,single,43.89,8,Vegetarian
Teresa Salinas,62,1961-01-03,Male,Single,48.25,274,nonveg
Kenneth Lawson,32,1991-10-03,female,M,37.34,43,nonveg
Barbara Evans,39,1984-07-11,female,married,48.55,178,nonveg
Diana Aguilar,116,1907-12-08,male,married,23.06,248,veg
Katie Johnson,73,1950-05-18,Female,s,32.44,125,Non-Vegetarian
Richard Davis,24,1999-06-11,F,single,46.87,98,nv
Jason King MD,33,1990-06-28,Female,married,47.79,126,Vegetarian
Paul Park,108,1915-03-11,m,s,39.42,212,non-veg
Cheryl Johnson,80,1943-03-20,Male,M,27.56,192,non-veg
Maureen Smith,39,1984-11-16,Male,Single,25.44,224,non-veg
Susan Davis,10,2013-12-03,female,single,40.17,258,v
Melissa Martinez,-46,1963-02-19,Female,Married,25.91,25,Vegetarian
Tammy Barnes,10,2013-08-18,Female,single,29.63,173,nv
Eric Lewis,6,2017-08-22,Female,Single,10.35,210,non-veg
Brian Roberts,-18,2006-02-05,Female,married,34.7,124,Vegetarian
Joseph Perkins,59,1964-02-15,male,single,29.84,429,Non-Vegetarian
Melissa Watts,61,1982-09-20,Female,married,46.08,346,Non-Vegetarian
Cynthia Rodriguez,81,1942-11-15,m,M,42.47,158,non-veg
Danielle Brown,100,1947-05-02,F,married,26.19,127,non-veg
Kevin Cooper,39,1984-09-19,male,single,38.43,59,nonveg
Andrea Nguyen,1,2022-05-15,Male,s,47.65,82,Vegetarian
Justin Gonzalez,94,1929-01-07,Male,s,32.29,405,veg
Jesse Alexander,32,1991-03-28,Female,Married,23.61,413,non-veg
David Nguyen,81,1942-02-16,Male,single,37.58,-1,Non Vegetarian
Sarah Carpenter,54,1969-01-18,male,s,29.08,284,nv
James Woods,9,1928-04-08,male,s,10.38,176,Non Vegetarian
John Cline,89,1934-01-21,F,single,12.87,72,nv
Michael Bryant,78,1955-12-10,female,Single,14.48,215,v
Amanda Sullivan,89,1934-10-23,m,M,31.6,328,non-veg
Christy Gutierrez,10,2013-04-11,female,Single,12.87,429,veg
Kathryn Haas,48,1975-11-18,female,s,13.57,436,non-veg
Jessica Hamilton,114,1909-09-27,m,single,44.8,114,veg
Robert Schwartz,-48,1943-09-13,F,s,45.94,354,v
Jennifer Lee,5,2018-07-18,m,Married,40.51,225,v
Roger Russell,78,1945-04-30,Female,Married,33.53,350,Non-Vegetarian
Mary Harris,57,2006-06-06,m,married,26.38,53,Non Vegetarian
Tammy Baker,25,1998-12-08,Female,s,36.62,235,Non Vegetarian
Christina Lawson,78,1945-06-25,Male,M,19.04,134,Vegetarian
James Wright,37,1986-06-20,female,single,40.03,245,Vegetarian
Kristin Lopez,29,1932-12-04,male,s,37.68,152,v
Corey Page,60,1963-03-31,Female,Single,25.74,77,v
Rebecca White,81,1942-06-01,male,single,40.85,92,Non-Vegetarian
Tami Richardson,-58,2012-10-17,Female,single,25.26,482,v
Joseph Jenkins,36,1987-04-19,female,Single,42.96,299,veg
Kathryn Hayden,86,1937-01-18,Female,Single,34.26,174,Non-Vegetarian
Cheryl Blair,94,1929-08-23,Female,Single,16.56,393,Vegetarian
Tiffany Ruiz,112,1911-06-17,male,Single,21.89,110,Non Vegetarian
Shane Carson,-72,1994-07-27,Female,Married,31.3,266,Non-Vegetarian
Savannah Stephenson,31,1992-05-26,Male,married,27.99,18,Non Vegetarian
Amanda Jackson,34,1924-09-26,Male,single,29.08,497,v
Amanda Alexander,58,1965-04-30,male,Single,10.45,434,nonveg
Shane Gutierrez,71,1952-09-11,Male,married,32.66,500,nonveg
Brandon Mcgrath,37,1986-09-10,F,single,30.83,97,Vegetarian
Nancy Williams,56,1981-03-15,Female,single,36.81,103,non-veg
Mitchell George,91,1932-01-04,F,Single,20.4,200,Non-Vegetarian
Maria Freeman,107,1916-10-18,Male,Married,49.43,409,nv
James Reynolds,36,1987-08-09,male,Married,27.55,171,Non Vegetarian
Robert Huynh,102,1921-03-24,Female,single,29.36,341,non-veg
Julie Ochoa,89,1934-10-31,female,M,18.89,151,Non-Vegetarian
Michael Blackwell,30,1993-09-09,female,married,27.57,99,Non Vegetarian
Daniel Smith,39,1984-01-15,Male,married,39.46,277,Vegetarian
Angie Brown,73,1950-10-26,male,Single,12.79,77,Non-Vegetarian
Zachary Burgess,27,1996-07-09,female,Single,22.69,204,non-veg
Anne Woods,87,1936-05-09,male,M,35.72,-4,nonveg
Jason Smith,39,1984-08-02,F,M,29.02,296,veg
Tammy Delgado,31,1992-12-04,Female,married,37.21,375,non-veg
Natasha Carter,115,1908-10-07,Female,married,16.88,345,Non-Vegetarian
Paul Fisher,66,1957-03-30,Male,Married,25.3,233,veg
Thomas Hull,33,1990-01-15,m,Married,48.05,244,Non Vegetarian
Tami Flynn,62,1980-11-09,Female,single,30.9,270,non-veg
Tammy Chan,98,1925-10-04,female,M,43.73,370,nonveg
Michael Schmitt,112,1911-08-08,male,s,22.2,322,Vegetarian
Nicole Boone,41,1982-09-01,Female,married,28.18,117,Vegetarian
Gregory Johnson,15,2008-02-03,Female,single,12.43,161,v
Nicholas Brooks,68,1955-03-18,female,Married,42.3,37,Vegetarian
Ann Walton,0,2023-02-19,Female,M,37.54,100,non-veg
Patrick Mathis,-72,1949-05-25,Female,M,41.41,248,Non Vegetarian
Tammy Blair,92,1931-07-10,female,Married,23.2,208,nv
Kelly Morrow,102,1921-09-18,male,Married,32.84,182,non-veg
Danielle Lopez,69,1954-06-11,m,single,47.71,331,v
Jack Booker,79,1944-10-21,Male,s,42.68,229,Non-Vegetarian
Selena Galvan,44,1979-05-10,Male,s,16.37,37,veg
Jessica Zamora,-5,2021-01-05,m,M,19.36,92,nv
Amy Bishop,88,1935-03-14,m,M,17.15,400,veg
Nicholas Wise,65,1958-09-18,F,single,41.25,118,nonveg
James Rodriguez,82,1941-09-25,Female,Single,42.27,321,non-veg
Douglas Tate,45,1978-11-14,F,single,46.53,479,nv
Alfred Jones,77,1946-05-04,Male,s,36.62,239,v
Jonathan Steele,13,2010-07-10,m,Single,42.97,166,v
John Thomas,18,2005-11-05,Female,single,19.75,124,Non-Vegetarian
Matthew Holland,-75,1918-05-24,male,s,48.6,31,v
Doris Hart,115,1908-01-16,Female,Single,34.71,96,v
Dustin Martinez,86,1937-05-13,Male,Married,27.02,339,v
Adam Lee,57,1966-03-03,Male,single,44.87,71,veg
Charles Thompson,72,1951-07-16,F,Single,12.7,357,veg
Brian Rodriguez,80,1923-05-25,Male,married,28.3,-10,veg
Michael Perry,2,2021-05-10,m,s,47.16,174,nv
Brittany Anderson,45,1978-10-11,m,s,27.1,465,Vegetarian
William Pennington,13,2010-11-28,F,married,26.37,237,v
Jessica Turner,-40,1921-04-09,male,Single,14.17,44,non-veg
Michael Thompson,32,1991-01-03,female,s,45.61,190,Vegetarian
Juan Finley,115,1908-02-01,female,married,36.66,291,veg
Timothy Chavez,82,1941-08-14,Female,Single,40.44,295,veg
Karen Hayes,65,1958-10-16,m,single,39.88,141,v
Christopher Waters,72,1951-05-10,m,married,46.35,389,Non-Vegetarian
James Dorsey,25,1998-05-27,F,single,15.68,178,Non Vegetarian
Gary Wright,8,2006-07-04,m,Single,12.08,175,non-veg
Kenneth Rogers,29,1994-09-13,female,Married,44.68,327,nv
Susan Juarez,114,1909-11-30,female,M,10.3,74,veg
Roger Nelson,24,1999-03-16,Male,Single,15.41,215,nonveg
Kevin Coleman,42,1981-09-25,Female,Married,34.3,89,nv
Kyle Brown,70,1964-06-05,Female,Single,44.92,79,Non-Vegetarian
Valerie Howell,62,1961-04-23,male,married,26.05,366,nonveg
Laurie Cisneros,-6,2021-06-05,F,s,38.12,278,Vegetarian
Donald Jones,48,2021-01-18,F,Single,11.02,373,nonveg
David Moore,28,1995-02-15,F,M,18.95,489,nonveg
Thomas Terrell,92,1931-07-08,female,Married,10.39,162,Vegetarian
Rebecca Cox,77,1946-07-26,m,single,15.41,256,v
Sheila Page,50,2011-03-02,m,single,49.89,301,nonveg
Jessica Hernandez,54,1969-11-04,Male,M,27.24,463,veg
Randy Lopez,91,1932-12-19,m,M,16.76,120,Non Vegetarian
Denise Smith,36,1955-10-22,female,single,22.58,449,v
Patrick Fields,47,1988-10-26,female,M,12.6,342,non-veg
Gerald Costa,86,1928-05-02,male,married,17.22,392,nonveg
Darrell Ramirez,44,1979-01-17,F,married,48.18,142,v
Ricky Benjamin,45,1978-06-11,F,married,16.13,30,v
Hannah Williams,-99,1987-07-17,m,married,10.99,475,Non Vegetarian
Robert Duncan,40,1983-06-06,female,s,16.45,117,Non-Vegetarian
Kathleen Montgomery,57,1966-09-14,female,single,48.13,129,veg
Tiffany May DVM,9,2004-10-13,female,single,21.76,396,nv
Stephen Nelson,69,1944-05-18,Female,single,39.99,129,Vegetarian
Courtney Carter,-40,2000-07-14,male,M,19.49,191,nv
Alyssa Cook,76,1947-09-11,Female,single,41.72,371,Non Vegetarian
Bruce Roberts,62,1961-08-02,m,Single,26.27,69,veg
Amy Gibson,27,1996-01-24,Male,single,22.27,344,Vegetarian
Catherine Bell,3,2020-05-18,m,Married,18.96,389,nv
Christopher Wells,20,2003-03-25,F,M,43.97,337,nonveg
Teresa Ellis,32,1991-03-25,Male,s,47.35,207,Non Vegetarian
Justin Lynch,-22,1964-12-15,m,s,43.79,85,v
Elizabeth Olson,8,2015-11-15,Male,single,19.46,145,nonveg
Lisa Martin,53,1970-12-23,Male,s,10.58,61,non-veg
Kevin Aguilar,72,1951-01-12,Male,M,30.43,187,v
Brian Compton DDS,40,1983-07-29,male,Single,41.05,314,Vegetarian
Brandi Garrison,93,1915-01-11,Female,M,40.28,173,Non-Vegetarian
Mary Espinoza,34,1989-02-06,Female,s,27.16,316,non-veg
Michele Osborn,46,1977-09-21,Male,M,39.56,486,veg
Dr. James Conner,30,1993-02-24,Male,M,35.53,77,nonveg
Jessica Smith,103,1920-12-29,Female,married,31.32,367,Non Vegetarian
Donna Williams,8,2015-11-20,m,Single,36.78,235,nonveg
Michael Smith,113,1910-12-05,Female,M,42.73,235,non-veg
Jason Clark,33,1990-05-13,m,Married,17.01,0,Non-Vegetarian
Robin Wilson,111,1912-08-19,F,s,19.71,227,non-veg
Steven Brown,59,2008-01-17,Male,single,10.63,416,veg
Susan Abbott,84,1939-07-18,Male,married,26.35,216,Non-Vegetarian
Karen Martinez,71,1952-07-16,Male,s,22.84,187,Non Vegetarian
John Phillips,49,1974-06-25,m,s,25.64,292,veg
Sara Soto,-81,1968-11-04,Male,Single,24.46,446,nv
Justin Weber,42,1981-02-08,Male,single,49.34,192,veg
Daniel Howard,31,1976-10-10,male,single,12.33,251,nv
Ryan Allison,-36,1918-12-23,m,Single,45.85,200,nonveg
Patrick Franklin,4,2019-02-16,Male,Single,24.19,232,v
Antonio Moore,35,1988-07-12,male,s,43.25,489,nv
Mark White,23,2000-05-27,F,s,29.71,450,nonveg
David Wheeler,26,2019-08-17,male,s,18.86,41,Vegetarian
Stephen Lucero,4,2019-01-22,m,Married,49.01,187,nonveg
Edward Hernandez,20,2003-02-12,m,single,47.98,119,Non Vegetarian
Joseph Reynolds,63,1960-01-12,male,Married,34.59,190,non-veg
John Brooks,115,1908-06-27,Male,s,17.93,457,nv
Lisa Miller,56,1967-02-10,m,Married,37.46,72,nonveg
Jamie Hunter,27,1996-06-25,Female,M,48.49,107,nonveg
Amy Bishop,-77,1982-02-19,m,married,31.83,76,Non-Vegetarian
Becky Fleming DDS,88,1935-04-12,F,married,34.35,306,nonveg
Melissa Blevins,97,1926-02-25,male,s,38.69,372,Non-Vegetarian
Angela Dean,-19,1969-06-05,Male,married,11.1,392,non-veg
Dana Santana,11,2012-09-29,female,Single,35.24,498,nv
Alejandro Johnson,28,1995-09-21,F,single,42.06,68,Vegetarian
Karen Brooks,62,1916-03-15,m,Single,31.7,11,Non-Vegetarian
Andrea Dalton,88,1931-08-11,Male,s,14.94,497,non-veg
Aaron Lane,13,2010-04-15,F,single,48.41,267,Non-Vegetarian
Mr. Daniel Clark,53,1949-08-14,Female,s,14.38,240,nv
Justin Brown,-75,1933-03-04,F,married,27.4,33,veg
Ronald Smith,-63,2000-11-10,male,Married,32.02,244,Non-Vegetarian
Charles Bridges,86,1937-06-20,female,single,31.26,97,Non-Vegetarian
David Anderson,93,1930-05-07,F,M,21.01,288,Vegetarian
Denise Marshall,60,1914-09-07,Male,M,22.74,41,Vegetarian
Tammy Brown,6,2017-11-20,Female,s,18.38,428,non-veg
Jerome Hunt,55,1968-01-17,m,Single,18.17,106,v
Jonathan Rogers,6,2017-01-02,male,single,22.44,272,veg
Spencer Santiago,66,1957-04-13,female,Married,31.74,281,nv
Tommy Leonard,38,1985-06-08,F,Single,35.08,453,nv
Cody Duncan,58,1946-02-11,male,Single,29.31,245,veg
Tracy Wright,107,1916-08-19,Male,Married,32.82,496,nonveg
Christopher Torres,51,1972-08-14,F,s,10.67,29,Non-Vegetarian
Cody Evans,18,2005-12-20,m,single,24.86,1,veg
Mariah Robbins,102,1921-02-16,female,M,29.55,398,non-veg
Daniel Williams,43,1980-08-03,Male,married,26.57,363,Non-Vegetarian
William Martinez,112,1911-01-19,Female,single,39.0,404,Non Vegetarian
Clinton Lewis,17,1922-03-18,Male,single,39.26,320,v
Olivia Owens,104,1919-01-07,Male,M,25.93,451,Vegetarian
Patrick Tucker,58,1965-02-05,m,M,42.74,167,non-veg
Robin Golden,13,2010-01-27,Female,Married,10.84,419,veg
Aaron Olson,-12,1942-04-27,Male,Single,44.56,50,veg
Julia Santiago,54,1969-11-27,female,Married,10.22,92,non-veg
Gary Ortiz,107,1916-09-23,male,Single,11.78,345,non-veg
Lindsay Bradley,78,1994-01-15,m,s,29.67,30,Non Vegetarian
Robert Benson,77,1946-11-11,F,M,26.49,422,Vegetarian
Mr. Jon Hall,35,1988-04-11,F,single,43.54,278,v
Joseph Lindsey,5,2018-10-17,male,single,38.19,389,Vegetarian
Thomas Meyer,77,1946-10-27,Male,s,41.94,174,Non Vegetarian
Megan Nelson,71,1952-04-13,male,single,22.96,315,veg
Michael Stuart,62,1961-02-25,male,M,48.41,339,nonveg
Donald Simmons,34,1989-11-20,Male,married,17.61,451,Non Vegetarian
Jason Bell,95,1958-05-05,m,M,19.75,352,v
Holly Ferguson,69,1954-11-18,F,s,16.04,470,veg
Mark Nolan,24,1912-05-03,female,M,40.03,156,Non Vegetarian
Maria Lucas,2,2021-11-22,F,M,37.11,161,nv
Thomas Andrews,80,2003-12-31,female,Married,27.49,46,nonveg
Cynthia Kelley,74,1949-09-16,female,married,45.85,-4,non-veg
Christina Simpson,-64,1955-04-14,m,M,32.99,419,Non-Vegetarian
Dustin Taylor,67,1956-01-29,m,M,20.61,51,Vegetarian
Katherine Anderson,95,1928-08-15,male,M,48.12,85,v
Brittany Campbell,113,1910-03-11,Male,Single,32.14,433,veg
Ruth Green,18,2019-07-27,Female,s,30.89,315,Non-Vegetarian
Patricia Stevens,95,1928-07-19,male,Married,20.04,12,Vegetarian
Carrie Patrick,38,1985-09-06,m,M,13.1,138,nonveg
Kayla Martin,76,1947-09-15,Female,Married,23.02,147,nonveg
John Sanchez,37,1986-05-31,Male,M,47.59,258,nonveg
Michael Lee,49,1974-10-04,Male,s,21.71,372,Non-Vegetarian
William Stein,43,1980-07-14,m,Married,34.79,493,Non Vegetarian
Christopher King,94,1929-07-14,female,married,31.28,431,Non-Vegetarian
Christopher Ferguson,73,1950-01-22,male,single,35.92,222,veg
Robert Chavez,-44,1944-09-01,female,single,37.85,3,v
Deborah Johnson,11,2012-12-02,female,Married,22.75,118,v
Michelle Phillips,-69,1947-11-15,Female,single,15.63,475,Non Vegetarian
Diana Turner,84,1955-08-14,F,single,24.75,231,Non Vegetarian
Annette Payne,56,1967-01-18,female,M,42.93,110,Vegetarian
Kevin Nguyen,30,1993-12-04,female,M,23.31,441,Vegetarian
Wayne Avery,-93,1946-01-27,m,M,31.34,208,Vegetarian
Aaron Fisher,59,1964-12-07,Male,Married,18.03,223,veg
Deborah Nelson,106,1917-02-05,F,s,34.11,350,Vegetarian
Stephen Grimes,85,1938-03-26,m,Married,26.5,157,veg
Brian Bowman,105,1918-03-16,Male,M,49.76,131,Vegetarian
Sarah Carrillo,30,1993-11-25,male,M,16.42,18,Vegetarian
Angela Valenzuela,21,2002-04-08,m,single,45.07,241,veg
Melinda Reid,106,1917-09-22,m,Single,49.64,263,Non Vegetarian
Kimberly Miller,36,1956-08-12,female,single,40.59,389,veg
Jeanette Butler,7,2016-04-24,male,s,21.8,259,veg
Alexis Gordon,103,1920-11-16,Male,single,45.26,346,non-veg
Nathaniel Nelson,-55,1946-10-31,Female,M,11.21,-1,nv
Rebecca Henry,42,1995-09-11,m,M,45.46,125,nonveg
Linda Morrison,82,1941-03-08,female,married,23.18,292,Vegetarian
Donna Robinson,56,1967-01-13,male,Married,23.22,290,nonveg
Brandon Miller,56,2003-04-03,male,Single,26.57,117,nv
Phillip Shaw,103,1920-02-24,Female,married,10.53,417,Non Vegetarian
Sarah Aguilar,-13,1927-04-15,male,Married,37.37,31,Non-Vegetarian
Michael Lawrence,-86,1965-08-17,Female,Married,16.38,240,veg
Kyle Pruitt,42,1981-01-02,female,single,24.8,51,Vegetarian
Michelle Garza,62,1961-11-04,male,Single,23.62,66,nv
Jason Thomas,75,1948-03-18,F,s,42.19,319,Non-Vegetarian
Jocelyn Miller,66,1957-06-26,m,Married,36.28,108,non-veg
Caitlyn Keith,17,2006-07-07,Male,M,20.51,480,non-veg
Michele Gill,92,1942-09-06,female,Single,45.95,300,Non Vegetarian
Amanda Scott,16,2007-12-22,F,single,28.85,275,nv
Joshua Page,26,1997-06-19,F,M,22.24,27,nv
Marco Miller,1,2022-10-04,male,s,11.5,168,nonveg
Lauren Hill,86,1937-07-11,male,Single,44.76,333,Vegetarian
Karen Newton,30,1993-10-13,Female,Married,44.18,456,veg
Heather Adams,70,1953-10-17,female,married,10.25,119,veg
Megan Hendrix,20,2003-06-29,m,M,25.44,257,Non Vegetarian
Joe Smith,58,1965-02-03,Female,Single,19.82,172,Non Vegetarian
David Sanchez,82,1941-11-25,male,single,12.69,91,Non-Vegetarian
Gary Rodriguez,49,1917-06-09,Male,s,49.95,428,non-veg
Lisa Martin,103,1920-03-10,male,M,17.36,256,Non-Vegetarian
Alan Green,86,1937-08-25,Female,Single,18.85,94,nonveg
Todd Bullock,104,1919-04-21,m,Single,31.32,43,Non Vegetarian
Joshua Newman,5,2018-10-09,F,Married,44.71,310,Vegetarian
Juan Smith,12,2011-05-27,F,married,29.27,174,Non-Vegetarian
Cory Smith,2,1974-01-22,female,married,27.61,456,Vegetarian
Rachel Hernandez,31,1992-02-26,Male,Married,37.51,456,veg
Amber Scott,11,2012-09-20,F,Married,10.36,192,veg
